Route,FgnPort,FgnPtLat,FgnPtLng,USPt,USPtLat,USPtLng,MetricTons
,,,,,,,
St Eustatius-Houston,St Eustatius,17.47143813,-62.96650887,Houston,29.79655941,-94.95346069,"4,705,799"
,,,,,,,
Jose Terminal-Beaumont,Jose Terminal,10.04493476,-64.81868362,Beaumont,30.1338447,-93.95362973,"4,691,780"
,,,,,,,
Whiffen Head-Wilmington (Del.),Whiffen Head,47.76229147,-53.99711609,Wilmington (Del.),39.777935,-75.4795074,"4,659,301"
,,,,,,,
Oranjestad (Aruba)-Philadelphia,Oranjestad (Aruba),12.40757435,-69.88420486,Philadelphia,40.00145146,-75.05541801,"4,570,719"
,,,,,,,
Porvoo-New York,Porvoo,60.0374171,26.01631165,New York,40.85160511,-73.79653931,"4,567,701"
,,,,,,,
St John s (NF)-New York,St John s (NF),47.55128247,-52.64703369,New York,40.85160511,-73.79653931,"4,533,008"
,,,,,,,
Cristobal-Houston,Cristobal,9.337199767,-79.89591479,Houston,29.79655941,-94.95346069,"4,518,679"
,,,,,,,
Ulsan-Los Angeles (incl San Pedro),Ulsan,35.38960974,129.4598007,Los Angeles (incl San Pedro),33.70406337,-118.2322884,"4,507,560"
,,,,,,,
Bullen Bay-Lake Charles,Bullen Bay,12.17393097,-69.00727272,Lake Charles,30.28456693,-93.13041687,"4,481,689"
,,,,,,,
Arzew-Port Arthur,Arzew,35.77827134,-0.162734985,Port Arthur,29.99569696,-93.80401611,"4,468,157"
,,,,,,,
Amsterdam-Houston,Amsterdam,52.34037359,4.988479614,Houston,29.79655941,-94.95346069,"4,439,246"
,,,,,,,
Skikda-Houston,Skikda,36.87220542,6.993141174,Houston,29.79655941,-94.95346069,"4,400,420"
,,,,,,,
Soyo-Long Beach,Soyo,-6.132703607,12.3989296,Long Beach,33.79740877,-118.1763268,"4,317,477"
,,,,,,,
Whiffen Head-Perth Amboy,Whiffen Head,47.76229147,-53.99711609,Perth Amboy,40.55815634,-74.24603462,"4,300,925"
,,,,,,,
Ju'aymah Crude & LPG Terminals-San Francisco,Ju'aymah Crude & LPG Terminals,26.89957887,50.10123714,San Francisco,37.8184632,-122.3444366,"4,286,823"
,,,,,,,
Tallinn-Houston,Tallinn,59.42122113,24.89397883,Houston,29.79655941,-94.95346069,"4,268,017"
,,,,,,,
Jose Terminal-South Louisiana Port,Jose Terminal,10.04493476,-64.81868362,South Louisiana Port,30.12939073,-90.27654648,"4,258,558"
,,,,,,,
Jose Terminal-Newport News,Jose Terminal,10.04493476,-64.81868362,Newport News,37.03023986,-76.40270233,"4,205,558"
,,,,,,,
Bajo Grande-Paulsboro,Bajo Grande,10.47938379,-71.60048172,Paulsboro,39.88217793,-75.18073082,"4,198,405"
,,,,,,,
Yeosu-Honolulu,Yeosu,34.68573411,127.8039551,Honolulu,21.33687092,-157.8321648,"4,133,371"
,,,,,,,
Jose Terminal-Freeport (USA),Jose Terminal,10.04493476,-64.81868362,Freeport (USA),29.04176325,-95.22468567,"4,107,907"
,,,,,,,
St Croix-New York,St Croix,17.6492558,-64.5227051,New York,40.85160511,-73.79653931,"4,056,980"
,,,,,,,
Ventspils-New York,Ventspils,57.30863127,21.69044495,New York,40.85160511,-73.79653931,"3,986,297"
,,,,,,,
Bonny Offshore Terminal-Lake Charles,Bonny Offshore Terminal,3.950411444,7.83682251,Lake Charles,30.28456693,-93.13041687,"3,950,365"
,,,,,,,
Mongstad-Philadelphia,Mongstad,60.77290852,5.117912292,Philadelphia,40.00145146,-75.05541801,"3,931,750"
,,,,,,,
Hound Point-Corpus Christi,Hound Point,56.00321559,-3.350214577,Corpus Christi,28.0550147,-96.98730469,"3,904,520"
,,,,,,,
St Croix-Charleston,St Croix,17.6492558,-64.5227051,Charleston,32.92628384,-79.85412598,"3,893,594"
,,,,,,,
Bonny Offshore Terminal-New York,Bonny Offshore Terminal,3.950411444,7.83682251,New York,40.85160511,-73.79653931,"3,872,083"
,,,,,,,
Vancouver (Can)-Anacortes,Vancouver (Can),48.9757105,-122.7846433,Anacortes,48.55706858,-122.4769592,"3,869,374"
,,,,,,,
Covenas Offshore Terminal-Freeport (USA),Covenas Offshore Terminal,9.468026518,-75.72240829,Freeport (USA),29.04176325,-95.22468567,"3,853,005"
,,,,,,,
Freeport (Bah)-Port Everglades,Freeport (Bah),26.49646266,-78.74073029,Port Everglades,26.1013412,-80.0932541,"3,830,109"
,,,,,,,
Point Fortin-Baltimore,Point Fortin,10.16018091,-61.5927887,Baltimore,39.30242456,-76.4263916,"3,818,229"
,,,,,,,
Jose Terminal-Galveston,Jose Terminal,10.04493476,-64.81868362,Galveston,29.36272782,-94.72206116,"3,798,781"
,,,,,,,
Covenas Offshore Terminal-Corpus Christi,Covenas Offshore Terminal,9.468026518,-75.72240829,Corpus Christi,28.0550147,-96.98730469,"3,754,002"
,,,,,,,
Guanta-Beaumont,Guanta,10.16085679,-64.54055786,Beaumont,30.1338447,-93.95362973,"3,739,136"
,,,,,,,
Muuga-Port Of Tallinn-New Orleans,Muuga-Port Of Tallinn,59.48453182,24.97832413,New Orleans,30.03744573,-89.88189697,"3,671,418"
,,,,,,,
Gibraltar-Houston,Gibraltar,36.12220754,-5.345106125,Houston,29.79655941,-94.95346069,"3,655,283"
,,,,,,,
Flotta Terminal-Portland (Maine),Flotta Terminal,58.82520663,-3.067932129,Portland (Maine),43.68823237,-70.19508362,"3,621,975"
,,,,,,,
Amuay Bay-Corpus Christi,Amuay Bay,11.69506261,-70.15972137,Corpus Christi,28.0550147,-96.98730469,"3,594,086"
,,,,,,,
Covenas Offshore Terminal-Baton Rouge,Covenas Offshore Terminal,9.468026518,-75.72240829,Baton Rouge,30.53535513,-91.15562439,"3,591,837"
,,,,,,,
Tuxpan-Corpus Christi,Tuxpan,20.87870142,-97.2681427,Corpus Christi,28.0550147,-96.98730469,"3,573,563"
,,,,,,,
Arzew-Philadelphia,Arzew,35.77827134,-0.162734985,Philadelphia,40.00145146,-75.05541801,"3,571,853"
,,,,,,,
Soyo-Portland (Maine),Soyo,-6.132703607,12.3989296,Portland (Maine),43.68823237,-70.19508362,"3,540,175"
,,,,,,,
Valparaiso-Houston,Valparaiso,-33.0610466,-71.5821075,Houston,29.79655941,-94.95346069,"3,506,188"
,,,,,,,
Bullen Bay-Corpus Christi,Bullen Bay,12.17393097,-69.00727272,Corpus Christi,28.0550147,-96.98730469,"3,504,335"
,,,,,,,
Come By Chance-Boston,Come By Chance,47.70987705,-53.95248413,Boston,42.38837782,-70.97373962,"3,481,034"
,,,,,,,
St Croix-Wilmington (NC),St Croix,17.6492558,-64.5227051,Wilmington (NC),34.30827823,-77.89237976,"3,455,110"
,,,,,,,
St John s (NF)-Portsmouth (New Hampshire),St John s (NF),47.55128247,-52.64703369,Portsmouth (New Hampshire),43.14533668,-70.70011139,"3,443,783"
,,,,,,,
Djeno Terminal (FPSO)-Philadelphia,Djeno Terminal (FPSO),-4.943218406,11.94303989,Philadelphia,40.00145146,-75.05541801,"3,381,527"
,,,,,,,
Bilbao-New York,Bilbao,43.22519255,-2.854385376,New York,40.85160511,-73.79653931,"3,379,931"
,,,,,,,
Amsterdam-South Louisiana Port,Amsterdam,52.34037359,4.988479614,South Louisiana Port,30.12939073,-90.27654648,"3,378,640"
,,,,,,,
Whiffen Head-Philadelphia,Whiffen Head,47.76229147,-53.99711609,Philadelphia,40.00145146,-75.05541801,"3,370,630"
,,,,,,,
Amsterdam-Port Everglades,Amsterdam,52.34037359,4.988479614,Port Everglades,26.1013412,-80.0932541,"3,354,604"
,,,,,,,
Amuay Bay-Port Everglades,Amuay Bay,11.69506261,-70.15972137,Port Everglades,26.1013412,-80.0932541,"3,321,966"
,,,,,,,
Whiffen Head-Paulsboro,Whiffen Head,47.76229147,-53.99711609,Paulsboro,39.88217793,-75.18073082,"3,315,651"
,,,,,,,
Gibraltar-South Louisiana Port,Gibraltar,36.12220754,-5.345106125,South Louisiana Port,30.12939073,-90.27654648,"3,300,098"
,,,,,,,
Vancouver (Can)-Richmond (California),Vancouver (Can),48.9757105,-122.7846433,Richmond (California),37.89815597,-122.2919083,"3,295,065"
,,,,,,,
Freeport (Bah)-South Louisiana Port,Freeport (Bah),26.49646266,-78.74073029,South Louisiana Port,30.12939073,-90.27654648,"3,289,873"
,,,,,,,
Puerto Armuelles-El Segundo Terminal,Puerto Armuelles,8.186004291,-82.82833099,El Segundo Terminal,33.93937338,-118.3962164,"3,177,739"
,,,,,,,
Lagos-Wilmington (Del.),Lagos,6.354966089,3.475112915,Wilmington (Del.),39.777935,-75.4795074,"3,163,786"
,,,,,,,
Bajo Grande-Philadelphia,Bajo Grande,10.47938379,-71.60048172,Philadelphia,40.00145146,-75.05541801,"3,163,216"
,,,,,,,
Balboa-Houston,Balboa,8.939340106,-79.54423428,Houston,29.79655941,-94.95346069,"3,141,266"
,,,,,,,
Wilhelmshaven-New York,Wilhelmshaven,53.48314268,8.195800781,New York,40.85160511,-73.79653931,"3,140,344"
,,,,,,,
Angra Dos Reis-El Segundo Terminal,Angra Dos Reis,-23.1169961,-44.21173096,El Segundo Terminal,33.93937338,-118.3962164,"3,125,441"
,,,,,,,
Cape Lopez-Wilmington (Del.),Cape Lopez,-0.836464279,8.973907471,Wilmington (Del.),39.777935,-75.4795074,"3,088,101"
,,,,,,,
Freeport (Bah)-Port Arthur,Freeport (Bah),26.49646266,-78.74073029,Port Arthur,29.99569696,-93.80401611,"3,077,206"
,,,,,,,
Pembroke-New York,Pembroke,51.6726616,-4.919471741,New York,40.85160511,-73.79653931,"3,058,573"
,,,,,,,
Muuga-Port Of Tallinn-New York,Muuga-Port Of Tallinn,59.48453182,24.97832413,New York,40.85160511,-73.79653931,"3,048,630"
,,,,,,,
Rocky Point-South Louisiana Port,Rocky Point,17.81112922,-77.13719845,South Louisiana Port,30.12939073,-90.27654648,"3,042,015"
,,,,,,,
Teesport-Portland (Maine),Teesport,54.58131489,-1.051940918,Portland (Maine),43.68823237,-70.19508362,"3,034,470"
,,,,,,,
Malabo-Philadelphia,Malabo,3.7474399,8.8034821,Philadelphia,40.00145146,-75.05541801,"3,016,606"
,,,,,,,
Guanta-Wilmington (Del.),Guanta,10.16085679,-64.54055786,Wilmington (Del.),39.777935,-75.4795074,"3,016,243"
,,,,,,,
Iskenderun-Philadelphia,Iskenderun,36.57886811,36.24320984,Philadelphia,40.00145146,-75.05541801,"2,934,812"
,,,,,,,
Moin-Houston,Moin,9.969865025,-83.05114746,Houston,29.79655941,-94.95346069,"2,926,955"
,,,,,,,
Quintero-Houston,Quintero,-32.79824167,-71.43859863,Houston,29.79655941,-94.95346069,"2,909,618"
,,,,,,,
Suape-Lake Charles,Suape,-8.41480984,-34.94630814,Lake Charles,30.28456693,-93.13041687,"2,887,015"
,,,,,,,
Lagos-Houston,Lagos,6.354966089,3.475112915,Houston,29.79655941,-94.95346069,"2,879,062"
,,,,,,,
Freeport (Bah)-Philadelphia,Freeport (Bah),26.49646266,-78.74073029,Philadelphia,40.00145146,-75.05541801,"2,868,449"
,,,,,,,
Freeport (Bah)-New Orleans,Freeport (Bah),26.49646266,-78.74073029,New Orleans,30.03744573,-89.88189697,"2,865,333"
,,,,,,,
Cayos Arcas Terminal-Gramercy,Cayos Arcas Terminal,20.14572264,-91.97307587,Gramercy,30.04999741,-90.673419,"2,856,049"
,,,,,,,
Vancouver (Can)-Tacoma,Vancouver (Can),48.9757105,-122.7846433,Tacoma,47.28970932,-122.3523331,"2,832,064"
,,,,,,,
St Croix-New Haven,St Croix,17.6492558,-64.5227051,New Haven,41.35052581,-72.85858154,"2,751,448"
,,,,,,,
Santos-Houston,Santos,-24.0047588,-46.2720108,Houston,29.79655941,-94.95346069,"2,737,287"
,,,,,,,
Riga-New York,Riga,56.8962539,24.26605225,New York,40.85160511,-73.79653931,"2,736,351"
,,,,,,,
Bejaia-Corpus Christi,Bejaia,36.6849403,5.140142414,Corpus Christi,28.0550147,-96.98730469,"2,736,310"
,,,,,,,
Soyo-Houston,Soyo,-6.132703607,12.3989296,Houston,29.79655941,-94.95346069,"2,735,731"
,,,,,,,
Dos Bocas-Corpus Christi,Dos Bocas,18.39199497,-93.14826965,Corpus Christi,28.0550147,-96.98730469,"2,685,369"
,,,,,,,
Cabinda-Philadelphia,Cabinda,-5.562084126,12.21396446,Philadelphia,40.00145146,-75.05541801,"2,641,307"
,,,,,,,
Rotterdam-Perth Amboy,Rotterdam,51.86377197,4.555206299,Perth Amboy,40.55815634,-74.24603462,"2,634,211"
,,,,,,,
Freeport (Bah)-New York,Freeport (Bah),26.49646266,-78.74073029,New York,40.85160511,-73.79653931,"2,632,053"
,,,,,,,
Cartagena (Col)-Houston,Cartagena (Col),10.26931648,-75.4760313,Houston,29.79655941,-94.95346069,"2,631,633"
,,,,,,,
Guanta-South Louisiana Port,Guanta,10.16085679,-64.54055786,South Louisiana Port,30.12939073,-90.27654648,"2,620,516"
,,,,,,,
Skikda-Corpus Christi,Skikda,36.87220542,6.993141174,Corpus Christi,28.0550147,-96.98730469,"2,612,480"
,,,,,,,
